JobBot digest
Top Matches (90–100%)
Company	Title	Location	Score	Why	Apply
Airbnb	Staff Software Engineer, Payments Compliance	Remote - US	30	Heuristic overlap: 7/20 listed skills and 1/6 locations appeared in the posting.	https://careers.airbnb.com/positions/8130787?gh_jid=8130787
Canonical	Graduate Software Engineer, Open Source and Linux, Canonical Ubuntu	Home based - Worldwide	26	Heuristic overlap: 6/20 listed skills and 1/6 locations appeared in the posting.	https://job-boards.greenhouse.io/canonical/jobs/8142329
Canonical	Software Engineer - Secure Container Images	Home Based - Americas; Home Based - APAC; Home based - EMEA	26	Heuristic overlap: 6/20 listed skills and 1/6 locations appeared in the posting.	https://job-boards.greenhouse.io/canonical/jobs/8130859
Dropbox	Infrastructure Software Engineer, Metadata Core	Remote - Poland	26	Heuristic overlap: 6/20 listed skills and 1/6 locations appeared in the posting.	https://jobs.dropbox.com/listing/7958409?gh_jid=7958409
Stripe	Staff Engineer, Core Infrastructure	Bengaluru, India	20	Heuristic overlap: 3/20 listed skills and 2/6 locations appeared in the posting.	https://stripe.com/jobs/search?gh_jid=8070949
Good Fits (75–89%)
Company	Title	Score	Apply
Canonical	Manager, People Analytics	19	https://job-boards.greenhouse.io/canonical/jobs/7836561
Canonical	Talent Acquisition Strategist	19	https://job-boards.greenhouse.io/canonical/jobs/8105144
Dropbox	Senior Manager, Data Engineering	19	https://jobs.dropbox.com/listing/8090065?gh_jid=8090065
Databricks	Solutions Architect - Communications, Media, Entertainment and Games	19	https://databricks.com/company/careers/open-positions/job?gh_jid=8569633002
Databricks	AI Engineer — GTM Analytics	18	https://databricks.com/company/careers/open-positions/job?gh_jid=8638847002
Databricks	Sr. Developer Advocate, Open Source — Omnigent	18	https://databricks.com/company/careers/open-positions/job?gh_jid=8716187002
Databricks	Sr. Developer Advocate, Open Source — Omnigent	18	https://databricks.com/company/careers/open-positions/job?gh_jid=8716730002
Databricks	Solutions Architect (Genie)	17	https://databricks.com/company/careers/open-positions/job?gh_jid=8657549002
Canonical	Regional SDR Director	16	https://job-boards.greenhouse.io/canonical/jobs/8094035
Discord	Advertising Operations Manager	16	https://job-boards.greenhouse.io/discord/jobs/8686353002
Stripe	ARG Engineering Manager	16	https://stripe.com/jobs/search?gh_jid=8113337
Stripe	AV Events Manager	16	https://stripe.com/jobs/search?gh_jid=8078126
Stripe	Manager, Competitive Programs	16	https://stripe.com/jobs/search?gh_jid=8175671
Stripe	Partner Development Manager, Link - Payments Partnerships	16	https://stripe.com/jobs/search?gh_jid=8090126
Stripe	Software Engineer, Platform Infrastructure	16	https://stripe.com/jobs/search?gh_jid=8127182
Stripe	Staff Software Engineer, API Platform	16	https://stripe.com/jobs/search?gh_jid=8055701
Stripe	Staff Software Engineer, Service Infrastructure	16	https://stripe.com/jobs/search?gh_jid=8090141
Stripe	Staff Software Engineer, Storage Abstractions	16	https://stripe.com/jobs/search?gh_jid=8171539
Airbnb	Senior Data Scientist - Payments (Inference)	16	https://careers.airbnb.com/positions/8123037?gh_jid=8123037
Airbnb	Senior Data Scientist, Trust (Inference)	16	https://careers.airbnb.com/positions/8059216?gh_jid=8059216
Airbnb	Senior Machine Learning Engineer, Query Intelligence	16	https://careers.airbnb.com/positions/8065789?gh_jid=8065789
Airbnb	Senior Manager, Machine Learning Engineering - Communication & Connectivity	16	https://careers.airbnb.com/positions/8070121?gh_jid=8070121
Airbnb	Senior Platform Manager, Data Products, Finance Accounting	16	https://careers.airbnb.com/positions/8070705?gh_jid=8070705
Airbnb	Senior Software Engineer, Payments Platform	16	https://careers.airbnb.com/positions/8138002?gh_jid=8138002
Airbnb	Staff Software Engineer, Passport & Commerce (Backend)	16	https://careers.airbnb.com/positions/8130817?gh_jid=8130817
Dropbox	Director of Media Strategy & Activation (Paid Media)	16	https://jobs.dropbox.com/listing/8096461?gh_jid=8096461
Dropbox	Principal, Market & Competitive Intelligence Manager	16	https://jobs.dropbox.com/listing/7862213?gh_jid=7862213
Dropbox	Principal, Market & Competitive Intelligence Manager	16	https://jobs.dropbox.com/listing/7862212?gh_jid=7862212
Dropbox	Senior Director, Global Tax Reporting	16	https://jobs.dropbox.com/listing/8094857?gh_jid=8094857
Databricks	Full Stack Developer (AI Agents)	16	https://databricks.com/company/careers/open-positions/job?gh_jid=8632126002
Databricks	Solutions Architect	16	https://databricks.com/company/careers/open-positions/job?gh_jid=8641892002
Databricks	Solutions Architect - Digital Native Business, Named Accounts	16	https://databricks.com/company/careers/open-positions/job?gh_jid=8569640002
Databricks	Solutions Architect - Global Telecommunications	16	https://databricks.com/company/careers/open-positions/job?gh_jid=8755470002
Databricks	Solutions Architect - Strategic High Tech	16	https://databricks.com/company/careers/open-positions/job?gh_jid=8563159002
Databricks	Specialist Solutions Architect - Data Engineering & Warehousing (Digital Native Business)	16	https://databricks.com/company/careers/open-positions/job?gh_jid=8761732002
Databricks	Sr. Solutions Architect - Digital Native Business, Strategics	16	https://databricks.com/company/careers/open-positions/job?gh_jid=8615045002
Databricks	Sr. Solutions Engineer - Digital Native Business, Named Accounts	16	https://databricks.com/company/careers/open-positions/job?gh_jid=8646516002
Discord	Senior Software Engineer, Ads	14	https://job-boards.greenhouse.io/discord/jobs/8697883002
Discord	Staff Software Engineer, Safety Experience	14	https://job-boards.greenhouse.io/discord/jobs/8727410002
Stripe	GTM Business Value Specialist	14	https://stripe.com/jobs/search?gh_jid=8097047
Stripe	Head of Money Management, Finance & Strategy	14	https://stripe.com/jobs/search?gh_jid=8154531
Stripe	Product Analytics - Developer Experience, Bridge	14	https://stripe.com/jobs/search?gh_jid=8139998
Stripe	Sales Strategy & Operations Analyst	14	https://stripe.com/jobs/search?gh_jid=8164674
Stripe	Software Engineer	14	https://stripe.com/jobs/search?gh_jid=8174105
Databricks	Senior Designated Support Engineer	14	https://databricks.com/company/careers/open-positions/job?gh_jid=8740680002
Databricks	Solutions Architect, EMEA Startups — France	14	https://databricks.com/company/careers/open-positions/job?gh_jid=8675572002
Databricks	Sr. Staff, Technical Program Management	14	https://databricks.com/company/careers/open-positions/job?gh_jid=8661359002
Databricks	Staff Designated Support Engineer	14	https://databricks.com/company/careers/open-positions/job?gh_jid=8661524002
Databricks	SAP Consolidations Manager, International Accounting	13	https://databricks.com/company/careers/open-positions/job?gh_jid=8688875002
Canonical	Organisational Development Associate	12	https://job-boards.greenhouse.io/canonical/jobs/8160237
Canonical	Senior Organisational Development Practitioner	12	https://job-boards.greenhouse.io/canonical/jobs/8090587
Discord	Staff Software Engineer, Experimentation Platform	12	https://job-boards.greenhouse.io/discord/jobs/8700605002
Stripe	AutoFile Specialist, Tax	12	https://stripe.com/jobs/search?gh_jid=8076623
